id;name;code;start_date;serial;department_new;owner;unit;quantity;price;amount;status;note
1;Identity black;invoice Paraguay Ruble;2024-01-16;Beauty Functionality connecting;Web;PCI National và;driver navigate partnerships;17139;31173;30436;Investment e-commerce;hybrid silver
2;cyan Card;copying bypassing Avon;2024-01-15;Handcrafted programming synthesizing;Practical brand;Wooden;Hawaii Rustic;14744;16396;37978;intermediate;partnerships auxiliary Nga
3;JSON program upward-trending;models;2024-01-15;Consultant Crest improvement;Dollar quantify Wisconsin;Metal Account iterate;Granite;88881;12286;7800;Specialist;Fork magenta hierarchy
4;Programmable Integration;FTP;2024-01-15;Lek;payment;North Proactive digital;feed Central Paradigm;35509;2254;93134;National deposit;Plain Rubber Licensed
5;Serbia;Pizza Cotton;2024-01-15;Kansas panel Pakistan;Incredible;Mouse strategy Health;Mexico synthesize Solutions;21174;18762;66084;Jamaican;Cheese
6;RSS;Berkshire Toys hardware;2024-01-15;silver Tasty Generic;Research communities;Account Health;platforms;19095;16814;19649;protocol Vermont invoice;concept
7;Avon functionalities Berkshire;Supervisor;2024-01-15;Persevering;Squares New open-source;Franc Assurance;feed Web;93148;33209;2633;Home Plastic Pizza;integrate generate Gloves
8;Account;driver product;2024-01-15;synthesize grey;drive sticky Sleek;Auto Dominica Jewelery;Analyst invoice Buckinghamshire;75768;88591;45204;Corporate;calculating
9;Guilder plum;Small compressing;2024-01-15;Connecticut;Implementation visualize mindshare;Bridge Montana;clicks-and-mortar architecture;39242;42184;57275;efficient bandwidth;Berkshire
10;Product Dollar Cordoba;bypass;2024-01-15;Dakota transmitter Account;Handmade;Credit;compelling protocol;96340;46881;44630;extend intangible JSON;eco-centric robust
