id;name;code;start_date;transfer_date;serial;department_new;department_old;owner;unit;quantity;status;note
1;circuit Secured Cheese;Gorgeous Club;2024-03-24;2024-03-24;solution-oriented;Seamless pink;Future;Barbuda Unbranded;Vermont Tennessee Steel;45081;Rubber Krone program;Consultant International Brand
2;Kina;indexing cutting-edge Alabama;2024-03-25;2024-03-24;Avon migration Computer;wireless Account technologies;white;collaborative knowledge cross-platform;invoice invoice;59974;payment e-markets;methodical Principal incremental
3;Credit;fresh-thinking empowering;2024-03-25;2024-03-24;Idaho radical Orchestrator;User-friendly clicks-and-mortar;Guilder;orchid Electronics;magenta;65958;Games;Division Bedfordshire Buckinghamshire
4;1080p;analyzer navigating Applications;2024-03-24;2024-03-24;solutions Buckinghamshire Strategist;purple Engineer;Card Cambridgeshire Account;Future mobile;Throughway Concrete;31812;deliver;integrated magnetic
5;Books Nauru;Mouse;2024-03-24;2024-03-24;drive;client-driven;functionalities driver;Lake;Directives open-source;94533;bandwidth heuristic;Clothing Ukraina
6;Metal Account;Track help-desk;2024-03-24;2024-03-25;sticky Account connect;lime Kids;infrastructures;Pants SMTP Beauty;Mobility;89689;overriding;streamline Lira Loan
7;connecting;Refined;2024-03-24;2024-03-24;Manor withdrawal;Lesotho Loan Franc;Cotton Kosovo;wireless redundant Dynamic;Liberia Synergistic;82739;Macedonia blue Beauty;engineer
8;Soap;compressing 1080p;2024-03-25;2024-03-25;Compatible cross-platform motivating;Iceland;Forge Islands;Nebraska system-worthy;De-engineered Dam Dynamic;68655;Estonia;collaborative SSL
9;Beauty Associate;tan Analyst Account;2024-03-24;2024-03-24;Robust;quantifying Account;Metrics Concrete SDD;Avon SMTP;grey quantify;42269;partnerships grid-enabled;feed Delaware
10;Practical;CSS Somali;2024-03-24;2024-03-24;Village;Forge Fish Dong;copy;Pants;bluetooth non-volatile Agent;83115;quantifying Identity;web-enabled payment
