id;audit_date;name;code;serial;jhi_type;use_time;start_date;department;status;setup_location;quantity;note
1;2024-01-16;purple Throughway transmit;invoice black benchmark;XSS Health Facilitator;complexity Switchable;2024-01-15;2024-01-15;Customer Coordinator green;Chief hardware;Road Extensions;89159;neural-net Dynamic Toys
2;2024-01-16;Krone;Account systematic;Bhutanese protocol input;Executive leverage Concrete;2024-01-16;2024-01-16;Analyst;users;Fundamental;9981;International Integration bypassing
3;2024-01-15;neural-net Bulgaria Awesome;IB Swiss Berkshire;Handmade artificial Sausages;payment Brand;2024-01-16;2024-01-15;Sénégal Borders up;Checking Regional;vertical Streets;29964;grow Borders Frozen
4;2024-01-15;Mississippi encryption withdrawal;Awesome;override;Distributed lavender Ruble;2024-01-15;2024-01-16;connecting Rwanda;withdrawal Producer;Web Plastic;32072;Borders
5;2024-01-16;Berkshire;Dollar Refined Hampshire;Plastic Nigeria;e-enable open-source Wisconsin;2024-01-15;2024-01-15;Fantastic grow;Unions Checking Handcrafted;Horizontal disintermediate;75769;Monaco
6;2024-01-15;front-end Dalasi;Executive;unleash Plastic Bỉ;blockchains Illinois;2024-01-15;2024-01-16;capability programming Vision-oriented;Officer index Future-proofed;Games;17650;Đức
7;2024-01-15;Steel Wooden;Generic;multi-byte;internet;2024-01-15;2024-01-15;empowering Balboa mobile;Account maximize expedite;indexing;19196;Wisconsin Sausages
8;2024-01-15;Shirt Slovakia;schemas;dedicated Tasty;indexing connecting;2024-01-15;2024-01-16;parse Home Factors;line partnerships;copy;84788;Handcrafted 24/7
9;2024-01-16;Solomon;Investor;Brooks auxiliary;Rubber implement;2024-01-16;2024-01-15;wireless;Baby Analyst;generate Manat;54085;of withdrawal
10;2024-01-15;alliance;engage;JSON;Minnesota;2024-01-15;2024-01-15;Ridge turquoise Jewelery;Ball monitor;gold real-time bypassing;31751;compress
