id;name;code;serial;jhi_type;use_time;start_date;department;status;setup_location;quantity;note
1;Washington;Research;invoice;withdrawal;2024-01-07;2024-01-07;Programmable overriding;payment;syndicate Prairie;79079;Shoes
2;optical functionalities Ohio;Cross-group Direct Belize;Dynamic capability;Small Toys capacitor;2024-01-07;2024-01-07;Berkshire back-end;maroon Car Specialist;Toys XSS e-commerce;48111;Licensed invoice Automotive
3;deposit;Sudan;Bedfordshire solid index;auxiliary Cambridgeshire Borders;2024-01-07;2024-01-08;multi-byte;digital;Wooden withdrawal;95401;synthesizing
4;AI parallelism;zero feed Virginia;bandwidth Account;indexing turquoise Cotton;2024-01-07;2024-01-07;indexing;enable Facilitator Producer;Markets orchid Cambridgeshire;2490;Concrete
5;red Somalia;copying;harness Dobra Senior;quantifying;2024-01-07;2024-01-07;Lakes Loan;front-end;benchmark;4503;sky District copying
6;Armenia Account Handmade;ability redundant;Stream;compress Suriname Granite;2024-01-07;2024-01-08;Concrete web-enabled;Towels;USB;16884;Shilling Mobility
7;Global Security transmit;Unbranded;Executive withdrawal;magenta;2024-01-07;2024-01-07;Tiên eco-centric;Open-architected;indexing;23052;Grocery initiatives
8;transparent Shoes bandwidth;transmit scalable target;withdrawal mission-critical;improvement sexy;2024-01-07;2024-01-07;architect Orchestrator EXE;Berkshire robust capacitor;yellow morph Jordanian;8155;Hat
9;Rustic;evolve Sleek Concrete;overriding transmitting;virtual morph override;2024-01-07;2024-01-07;throughput Awesome;bandwidth Dynamic;port synergy Zimbabwe;64731;Junction blue Alabama
10;Cheese Integrated dynamic;foreground;state;generating;2024-01-07;2024-01-07;Computer;Compatible Metrics;Cordoba deliverables Plastic;44691;calculate Brasil
